规则编号,根告警代码,衍生告警代码,根层次,衍生层次,是否启用,备注1,备注2
1,107,60088,OTN_CLIENT,OTUk,1,同向,专家
2,107,1639,OTN_CLIENT,OTUk,1,同向,专家
3,107,60031,OTN_CLIENT,OTUk,1,同向,专家
4,525,1659,OTUk,OTUk,1,同向,专家
5,525,1660,OTUk,ODUk,1,同向,专家
6,525,80,OTUk,ODUk,1,同向,专家
7,1451,1805,OTS,OTS,1,同向,专家
8,1451,698,OTS,OTS,1,同向,专家
9,1452,1804,OTS,OTS,1,同向,专家
10,1452,906,OTS,OTS,1,同向,专家
11,1510,1522,OTUk,ODUk,1,异向,专家
12,1510,1527,OTUk,ODUk,1,异向,专家
13,1510,1533,OTUk,ODUk,1,异向,专家
14,1510,1539,OTUk,ODUk,1,异向,专家
15,1510,1545,OTUk,ODUk,1,异向,专家
16,1510,1551,OTUk,ODUk,1,异向,专家
17,1510,1557,OTUk,ODUk,1,异向,专家
18,1510,1512,OTUk,OTUk,1,异向,专家
19,1510,2034,OTUk,ODUk,1,同向,专家
20,1510,1516,OTUk,ODUk,1,同向,专家
21,1510,1519,OTUk,ODUk,1,同向,专家
22,1510,1725,OTUk,ODUk,1,同向,专家
23,1510,2074,OTUk,ODUk,1,同向,专家
24,1510,80,OTUk,ODUk,1,同向,专家
25,1511,1522,OTUk,ODUk,1,异向,专家
26,1511,1527,OTUk,ODUk,1,异向,专家
27,1511,1533,OTUk,ODUk,1,异向,专家
28,1511,1539,OTUk,ODUk,1,异向,专家
29,1511,1545,OTUk,ODUk,1,异向,专家
30,1511,1551,OTUk,ODUk,1,异向,专家
31,1511,1557,OTUk,ODUk,1,异向,专家
32,1511,1512,OTUk,OTUk,1,异向,专家
33,1511,2034,OTUk,ODUk,1,同向,专家
34,1511,1516,OTUk,ODUk,1,同向,专家
35,1511,1519,OTUk,ODUk,1,同向,专家
36,1511,1725,OTUk,ODUk,1,同向,专家
37,1511,2074,OTUk,ODUk,1,同向,专家
38,1511,80,OTUk,ODUk,1,同向,专家
39,1516,80,ODUk,ODUk,1,同向,专家
40,1517,80,ODUk,ODUk,1,同向,专家
41,1518,80,ODUk,ODUk,1,同向,专家
42,1519,80,ODUk,ODUk,1,同向,专家
43,1520,80,ODUk,ODUk,1,同向,专家
44,1521,80,ODUk,ODUk,1,同向,专家
45,1522,2116,ODUk,OTN_CLIENT,1,异向,专家
46,1524,2116,ODUk,OTN_CLIENT,1,异向,专家
47,1531,1527,ODUk,ODUk,1,异向,专家
48,1537,1533,ODUk,ODUk,1,异向,专家
49,1543,1539,ODUk,ODUk,1,异向,专家
50,1549,1545,ODUk,ODUk,1,异向,专家
51,1555,1551,ODUk,ODUk,1,异向,专家
52,1561,1557,ODUk,ODUk,1,异向,专家
53,1637,1522,OTN_CLIENT,ODUk,1,异向,专家
54,1637,1527,OTN_CLIENT,ODUk,1,异向,专家
55,1637,1533,OTN_CLIENT,ODUk,1,异向,专家
56,1637,1539,OTN_CLIENT,ODUk,1,异向,专家
57,1637,1545,OTN_CLIENT,ODUk,1,异向,专家
58,1637,1551,OTN_CLIENT,ODUk,1,异向,专家
59,1637,1557,OTN_CLIENT,ODUk,1,异向,专家
60,1637,2116,OTN_CLIENT,ODUk,1,异向,专家
61,1637,1512,OTN_CLIENT,OTUk,1,异向,专家
62,1637,60080,OTN_CLIENT,ODUk,1,同向,专家
63,1637,2034,OTN_CLIENT,ODUk,1,同向,专家
64,1637,1516,OTN_CLIENT,ODUk,1,同向,专家
65,1637,1519,OTN_CLIENT,ODUk,1,同向,专家
66,1637,1725,OTN_CLIENT,ODUk,1,同向,专家
67,1637,2074,OTN_CLIENT,ODUk,1,同向,专家
68,1637,80,OTN_CLIENT,ODUk,1,同向,专家
69,1639,1522,OTUk,ODUk,1,异向,专家
70,1639,1527,OTUk,ODUk,1,异向,专家
71,1639,1533,OTUk,ODUk,1,异向,专家
72,1639,1539,OTUk,ODUk,1,异向,专家
73,1639,1545,OTUk,ODUk,1,异向,专家
74,1639,1551,OTUk,ODUk,1,异向,专家
75,1639,1557,OTUk,ODUk,1,异向,专家
76,1639,1512,OTUk,OTUk,1,异向,专家
77,1639,2034,OTUk,ODUk,1,同向,专家
78,1639,1516,OTUk,ODUk,1,同向,专家
79,1639,1519,OTUk,ODUk,1,同向,专家
80,1639,1725,OTUk,ODUk,1,同向,专家
81,1639,2074,OTUk,ODUk,1,同向,专家
82,1639,80,OTUk,ODUk,1,同向,专家
83,1640,1522,OTUk,ODUk,1,异向,专家
84,1640,1527,OTUk,ODUk,1,异向,专家
85,1640,1533,OTUk,ODUk,1,异向,专家
86,1640,1539,OTUk,ODUk,1,异向,专家
87,1640,1545,OTUk,ODUk,1,异向,专家
88,1640,1551,OTUk,ODUk,1,异向,专家
89,1640,1557,OTUk,ODUk,1,异向,专家
90,1640,1512,OTUk,OTUk,1,异向,专家
91,1640,2034,OTUk,ODUk,1,同向,专家
92,1640,1516,OTUk,ODUk,1,同向,专家
93,1640,1519,OTUk,ODUk,1,同向,专家
94,1640,1725,OTUk,ODUk,1,同向,专家
95,1640,2074,OTUk,ODUk,1,同向,专家
96,1640,80,OTUk,ODUk,1,同向,专家
97,1641,1527,ODUk,ODUk,1,异向,专家
98,1641,80,ODUk,ODUk,1,同向,专家
99,1642,1533,ODUk,ODUk,1,异向,专家
100,1642,80,ODUk,ODUk,1,同向,专家
101,1643,1539,ODUk,ODUk,1,异向,专家
102,1643,80,ODUk,ODUk,1,同向,专家
103,1644,1545,ODUk,ODUk,1,异向,专家
104,1644,80,ODUk,ODUk,1,同向,专家
105,1645,1551,ODUk,ODUk,1,异向,专家
106,1645,80,ODUk,ODUk,1,同向,专家
107,1646,1557,ODUk,ODUk,1,异向,专家
108,1646,80,ODUk,ODUk,1,同向,专家
109,1647,1527,ODUk,ODUk,1,异向,专家
110,1647,80,ODUk,ODUk,1,同向,专家
111,1648,1533,ODUk,ODUk,1,异向,专家
112,1648,80,ODUk,ODUk,1,同向,专家
113,1649,1539,ODUk,ODUk,1,异向,专家
114,1649,80,ODUk,ODUk,1,同向,专家
115,1650,1545,ODUk,ODUk,1,异向,专家
116,1650,80,ODUk,ODUk,1,同向,专家
117,1651,1551,ODUk,ODUk,1,异向,专家
118,1651,80,ODUk,ODUk,1,同向,专家
119,1652,1557,ODUk,ODUk,1,异向,专家
120,1652,80,ODUk,ODUk,1,同向,专家
121,1653,1527,ODUk,ODUk,1,异向,专家
122,1653,80,ODUk,ODUk,1,同向,专家
123,1654,1533,ODUk,ODUk,1,异向,专家
124,1654,80,ODUk,ODUk,1,同向,专家
125,1655,1539,ODUk,ODUk,1,异向,专家
126,1655,80,ODUk,ODUk,1,同向,专家
127,1656,1545,ODUk,ODUk,1,异向,专家
128,1656,80,ODUk,ODUk,1,同向,专家
129,1657,1551,ODUk,ODUk,1,异向,专家
130,1657,80,ODUk,ODUk,1,同向,专家
131,1658,1557,ODUk,ODUk,1,异向,专家
132,1658,80,ODUk,ODUk,1,同向,专家
133,1659,1514,OTUk,OTUk,1,异向,专家
134,1659,80,OTUk,ODUk,1,同向,专家
135,1660,1524,ODUk,ODUk,1,异向,专家
136,1660,80,ODUk,ODUk,1,同向,专家
137,1661,1529,ODUk,ODUk,1,异向,专家
138,1661,80,ODUk,ODUk,1,同向,专家
139,1662,1535,ODUk,ODUk,1,异向,专家
140,1662,80,ODUk,ODUk,1,同向,专家
141,1663,1541,ODUk,ODUk,1,异向,专家
142,1663,80,ODUk,ODUk,1,同向,专家
143,1664,1547,ODUk,ODUk,1,异向,专家
144,1664,80,ODUk,ODUk,1,同向,专家
145,1665,1553,ODUk,ODUk,1,异向,专家
146,1665,80,ODUk,ODUk,1,同向,专家
147,1666,1559,ODUk,ODUk,1,异向,专家
148,1666,80,ODUk,ODUk,1,同向,专家
149,1715,1522,ODUk,ODUk,1,异向,专家
150,1715,80,ODUk,ODUk,1,同向,专家
151,1716,1921,OTN_CLIENT,OTN_CLIENT,1,同向,专家
152,1717,1921,OTN_CLIENT,OTN_CLIENT,1,同向,专家
153,1721,2116,OTN_CLIENT,OTN_CLIENT,1,异向,专家
154,1722,1729,OTS,OTS,1,同向,专家
155,1722,1921,OTN_CLIENT,OTN_CLIENT,1,同向,专家
156,1724,1522,OTUk,ODUk,1,异向,专家
157,1724,1527,OTUk,ODUk,1,异向,专家
158,1724,1533,OTUk,ODUk,1,异向,专家
159,1724,1539,OTUk,ODUk,1,异向,专家
160,1724,1545,OTUk,ODUk,1,异向,专家
161,1724,1551,OTUk,ODUk,1,异向,专家
162,1724,1557,OTUk,ODUk,1,异向,专家
163,1724,1512,OTUk,OTUk,1,异向,专家
164,1724,2034,OTUk,ODUk,1,同向,专家
165,1724,1516,OTUk,ODUk,1,同向,专家
166,1724,1519,OTUk,ODUk,1,同向,专家
167,1724,1725,OTUk,ODUk,1,同向,专家
168,1724,2074,OTUk,ODUk,1,同向,专家
169,1724,80,OTUk,ODUk,1,同向,专家
170,1725,80,ODUk,ODUk,1,同向,专家
171,1726,80,ODUk,ODUk,1,同向,专家
172,1727,80,ODUk,ODUk,1,同向,专家
173,1729,60088,OTS,OTUk,1,同向,专家
174,1729,1639,OTS,OTUk,1,同向,专家
175,1729,60031,OTS,OTUk,1,同向,专家
176,1729,1743,OTS,OTS,1,同向,专家
177,1729,1744,OTS,OTS,1,同向,专家
178,1730,1729,OTS,OTS,1,同向,专家
179,1731,1729,OTS,OTS,1,同向,专家
180,1756,1522,ODUk,ODUk,1,异向,专家
181,1756,80,ODUk,ODUk,1,同向,专家
182,1757,1522,ODUk,ODUk,1,异向,专家
183,1757,80,ODUk,ODUk,1,同向,专家
184,1921,1522,OTN_CLIENT,ODUk,1,异向,专家
185,1921,1527,OTN_CLIENT,ODUk,1,异向,专家
186,1921,1533,OTN_CLIENT,ODUk,1,异向,专家
187,1921,1539,OTN_CLIENT,ODUk,1,异向,专家
188,1921,1545,OTN_CLIENT,ODUk,1,异向,专家
189,1921,1551,OTN_CLIENT,ODUk,1,异向,专家
190,1921,1557,OTN_CLIENT,ODUk,1,异向,专家
191,1921,1512,OTN_CLIENT,OTUk,1,异向,专家
192,1921,60080,OTN_CLIENT,ODUk,1,同向,专家
193,1921,2034,OTN_CLIENT,ODUk,1,同向,专家
194,1921,1516,OTN_CLIENT,ODUk,1,同向,专家
195,1921,1519,OTN_CLIENT,ODUk,1,同向,专家
196,1921,1725,OTN_CLIENT,ODUk,1,同向,专家
197,1921,2074,OTN_CLIENT,ODUk,1,同向,专家
198,1921,80,OTN_CLIENT,ODUk,1,同向,专家
199,2034,80,ODUk,ODUk,1,同向,专家
200,2035,80,ODUk,ODUk,1,同向,专家
201,2036,80,ODUk,ODUk,1,同向,专家
202,2073,1522,OTUk,ODUk,1,异向,专家
203,2073,1527,OTUk,ODUk,1,异向,专家
204,2073,1533,OTUk,ODUk,1,异向,专家
205,2073,1539,OTUk,ODUk,1,异向,专家
206,2073,1545,OTUk,ODUk,1,异向,专家
207,2073,1551,OTUk,ODUk,1,异向,专家
208,2073,1557,OTUk,ODUk,1,异向,专家
209,2073,1512,OTUk,OTUk,1,异向,专家
210,2073,2034,OTUk,ODUk,1,同向,专家
211,2073,1516,OTUk,ODUk,1,同向,专家
212,2073,1519,OTUk,ODUk,1,同向,专家
213,2073,1725,OTUk,ODUk,1,同向,专家
214,2073,2074,OTUk,ODUk,1,同向,专家
215,2073,80,OTUk,ODUk,1,同向,专家
216,2074,80,ODUk,ODUk,1,同向,专家
217,2075,80,ODUk,ODUk,1,同向,专家
218,2076,80,ODUk,ODUk,1,同向,专家
219,2115,2116,OTN_CLIENT,OTN_CLIENT,1,异向,专家
220,2690,1522,ODUk,ODUk,1,异向,专家
221,2690,80,ODUk,ODUk,1,同向,专家
222,60030,1522,OTUk,ODUk,1,异向,专家
223,60030,1527,OTUk,ODUk,1,异向,专家
224,60030,1533,OTUk,ODUk,1,异向,专家
225,60030,1539,OTUk,ODUk,1,异向,专家
226,60030,1545,OTUk,ODUk,1,异向,专家
227,60030,1551,OTUk,ODUk,1,异向,专家
228,60030,1557,OTUk,ODUk,1,异向,专家
229,60030,1512,OTUk,OTUk,1,异向,专家
230,60030,2034,OTUk,ODUk,1,同向,专家
231,60030,1516,OTUk,ODUk,1,同向,专家
232,60030,1519,OTUk,ODUk,1,同向,专家
233,60030,1725,OTUk,ODUk,1,同向,专家
234,60030,2074,OTUk,ODUk,1,同向,专家
235,60031,1522,OTUk,ODUk,1,异向,专家
236,60031,1527,OTUk,ODUk,1,异向,专家
237,60031,1533,OTUk,ODUk,1,异向,专家
238,60031,1539,OTUk,ODUk,1,异向,专家
239,60031,1545,OTUk,ODUk,1,异向,专家
240,60031,1551,OTUk,ODUk,1,异向,专家
241,60031,1557,OTUk,ODUk,1,异向,专家
242,60031,1512,OTUk,OTUk,1,异向,专家
243,60031,2034,OTUk,ODUk,1,同向,专家
244,60031,1516,OTUk,ODUk,1,同向,专家
245,60031,1519,OTUk,ODUk,1,同向,专家
246,60031,1725,OTUk,ODUk,1,同向,专家
247,60031,2074,OTUk,ODUk,1,同向,专家
248,60031,80,OTUk,ODUk,1,同向,专家
249,60034,1522,ODUk,ODUk,1,异向,专家
250,60034,80,ODUk,ODUk,1,同向,专家
251,60035,1522,ODUk,ODUk,1,异向,专家
252,60035,80,ODUk,ODUk,1,同向,专家
253,60038,1522,ODUk,ODUk,1,异向,专家
254,60038,80,ODUk,ODUk,1,同向,专家
255,60042,1522,ODUk,ODUk,1,异向,专家
256,60042,80,ODUk,ODUk,1,同向,专家
257,60043,1522,ODUk,ODUk,1,异向,专家
258,60043,80,ODUk,ODUk,1,同向,专家
259,60076,1522,OTUk,ODUk,1,异向,专家
260,60076,1527,OTUk,ODUk,1,异向,专家
261,60076,1533,OTUk,ODUk,1,异向,专家
262,60076,1539,OTUk,ODUk,1,异向,专家
263,60076,1545,OTUk,ODUk,1,异向,专家
264,60076,1551,OTUk,ODUk,1,异向,专家
265,60076,1557,OTUk,ODUk,1,异向,专家
266,60076,1512,OTUk,OTUk,1,异向,专家
267,60076,2034,OTUk,ODUk,1,同向,专家
268,60076,1516,OTUk,ODUk,1,同向,专家
269,60076,1519,OTUk,ODUk,1,同向,专家
270,60076,1725,OTUk,ODUk,1,同向,专家
271,60076,2074,OTUk,ODUk,1,同向,专家
272,60076,80,OTUk,ODUk,1,同向,专家
273,60077,1522,OTUk,ODUk,1,异向,专家
274,60077,1527,OTUk,ODUk,1,异向,专家
275,60077,1533,OTUk,ODUk,1,异向,专家
276,60077,1539,OTUk,ODUk,1,异向,专家
277,60077,1545,OTUk,ODUk,1,异向,专家
278,60077,1551,OTUk,ODUk,1,异向,专家
279,60077,1557,OTUk,ODUk,1,异向,专家
280,60077,1512,OTUk,OTUk,1,异向,专家
281,60077,2034,OTUk,ODUk,1,同向,专家
282,60077,1516,OTUk,ODUk,1,同向,专家
283,60077,1519,OTUk,ODUk,1,同向,专家
284,60077,1725,OTUk,ODUk,1,同向,专家
285,60077,2074,OTUk,ODUk,1,同向,专家
286,60077,80,OTUk,ODUk,1,同向,专家
287,60078,1522,ODUk,ODUk,1,异向,专家
288,60078,80,ODUk,ODUk,1,同向,专家
